Idalumno,CodAsig,Asignatura,Carrera,Semestre,Convocatoria,Anho,Ciclo,Aprobado,AnhoFirma,1P,2P,Taller,Asistencia,Requisito,1R,2R,NF,1F,2F,3F,Materias cursadas
1716,13015,ESTATICA,IND-PLS13 ,3,2,2018,2,0,2018,15,13,4,1,1,22,35,1,0,0,1,3
1716,13015,ESTATICA,IND-PLS13 ,3,1,2019,1,1,2018,14,15,0,1,1,0,0,3,1,3,0,4
1718,13015,ESTATICA,IND-PLS13 ,3,2,2021,2,0,0,10,7,3,1,1,16,0,0,0,0,0,6
1718,13015,ESTATICA,IND-PLS13 ,3,1,2022,1,0,0,7,12,2,1,1,18,22,0,0,0,0,6
1718,13015,ESTATICA,IND-PLS13 ,3,2,2022,2,0,0,16,8,7,1,1,22,4,0,0,0,0,6
1721,13015,ESTATICA,ELE-PLS13 ,3,1,2016,2,1,2016,16,14,7,1,1,0,0,3,0,0,3,5
1722,13015,ESTATICA,CIV-PLS13 ,3,1,2017,2,0,0,7,12,6,1,1,8,20,0,0,0,0,4
1722,13015,ESTATICA,CIV-PLS13 ,3,1,2018,1,0,2018,9,13,6,1,1,29,0,1,0,1,0,3
1722,13015,ESTATICA,CIV-PLS13 ,3,2,2018,2,0,2018,7,0,0,1,1,0,0,1,1,1,0,3
1722,13015,ESTATICA,CIV-PLS13 ,3,1,2019,1,1,2019,20,19,2,1,1,0,0,2,2,0,0,4
1724,13015,ESTATICA,CIV-PLS13 ,3,1,2021,1,0,2020,0,0,5,1,1,0,0,0,0,0,0,3
1726,13015,ESTATICA,CIV-PLS13 ,3,2,2021,2,0,0,0,0,2,1,0,0,0,0,0,0,0,6
1726,13015,ESTATICA,CIV-PLS13 ,3,1,2022,1,0,0,0,0,3,1,0,0,0,0,0,0,0,5
1726,13015,ESTATICA,CIV-PLS13 ,3,2,2022,2,0,0,3,0,1,0,0,0,0,0,0,0,0,5
1727,13015,ESTATICA,ELE-PLS13 ,3,2,2021,2,0,0,0,0,3,1,0,0,0,0,0,0,0,6
1727,13015,ESTATICA,ELE-PLS13 ,3,1,2022,1,0,0,3,0,4,1,0,0,0,0,0,0,0,5
1727,13015,ESTATICA,ELE-PLS13 ,3,2,2022,2,0,0,13,5,5,1,1,0,0,0,0,0,0,4
1729,13015,ESTATICA,CIV-PLS13 ,3,2,2021,2,0,0,12,15,2,1,1,12,18,0,0,0,0,6
1729,13015,ESTATICA,CIV-PLS13 ,3,1,2022,1,1,2022,11,8,2,1,1,32,33,2,0,0,2,6
1730,13015,ESTATICA,IND-PLS13 ,3,1,2016,2,0,0,12,8,6,1,1,0,0,0,0,0,0,5
1730,13015,ESTATICA,IND-PLS13 ,3,1,2017,2,1,2017,13,17,5,1,1,0,0,3,3,0,0,5
1731,13015,ESTATICA,IND-PLS13 ,3,1,2017,2,1,2017,14,24,5,1,1,0,0,2,2,0,0,4
1735,13015,ESTATICA,CIV-PLS13 ,3,1,2016,2,1,2016,17,33,9,1,1,0,0,5,5,0,0,6
1736,13015,ESTATICA,MCT-PLS13 ,3,1,2016,2,0,2016,15,24,2,1,1,0,0,1,1,0,1,4
1736,13015,ESTATICA,MCT-PLS13 ,3,1,2017,2,0,2016,0,0,0,1,1,0,8,1,0,0,1,7
1736,13015,ESTATICA,MCT-PLS13 ,3,1,2018,1,0,2018,13,24,4,1,1,0,0,1,0,1,0,8
1736,13015,ESTATICA,MCT-PLS13 ,3,2,2018,2,0,2018,0,0,0,1,1,0,0,1,0,0,1,7
1736,13015,ESTATICA,MCT-PLS13 ,3,1,2019,1,0,0,13,15,2,1,1,0,0,0,0,0,0,4
1736,13015,ESTATICA,MCT-PLS13 ,3,2,2019,2,0,2019,10,18,7,1,1,0,0,1,0,1,0,4
1736,13015,ESTATICA,MCT-PLS13 ,3,1,2021,1,0,0,10,0,2,1,1,0,0,0,0,0,0,5
1736,13015,ESTATICA,MCT-PLS13 ,3,2,2021,2,0,0,8,0,0,1,0,0,0,0,0,0,0,5
1736,13015,ESTATICA,MCT-PLS13 ,3,1,2022,1,0,0,4,0,0,1,0,0,0,0,0,0,0,6
1736,13015,ESTATICA,MCT-PLS13 ,3,2,2022,2,1,2022,19,18,3,1,1,0,0,3,0,3,0,5
1737,13015,ESTATICA,CIV-PLS13 ,3,2,2019,2,1,2019,13,26,7,1,1,0,0,5,1,5,0,5
1738,13015,ESTATICA,CIV-PLS13 ,3,1,2016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1739,13015,ESTATICA,CIV-PLS13 ,3,2,2021,2,0,0,0,0,0,1,0,0,0,0,0,0,0,7
1739,13015,ESTATICA,CIV-PLS13 ,3,1,2022,1,0,0,9,0,2,1,0,0,0,0,0,0,0,8
1739,13015,ESTATICA,CIV-PLS13 ,3,2,2022,2,0,0,14,8,6,1,1,18,18,0,0,0,0,5
1740,13015,ESTATICA,IND-PLS13 ,3,2,2019,2,1,2019,17,22,7,1,1,0,0,2,2,0,0,5
1741,13015,ESTATICA,MCT-PLS13 ,3,1,2017,2,0,0,10,17,2,1,1,0,16,0,0,0,0,5
1741,13015,ESTATICA,MCT-PLS13 ,3,2,2018,2,0,0,13,0,0,1,0,0,0,0,0,0,0,4
1741,13015,ESTATICA,MCT-PLS13 ,3,1,2019,1,0,2019,12,15,6,1,1,32,0,1,0,1,0,5
1741,13015,ESTATICA,MCT-PLS13 ,3,2,2019,2,1,2019,13,0,0,1,1,0,0,2,1,2,0,5
1742,13015,ESTATICA,IND-PLS13 ,3,1,2016,2,0,0,4,24,4,1,1,0,0,0,0,0,0,5
1742,13015,ESTATICA,IND-PLS13 ,3,1,2017,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4
1742,13015,ESTATICA,CIV-PLS13 ,3,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1742,13015,ESTATICA,IND-PLS13 ,3,2,2019,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4
1742,13015,ESTATICA,IND-PLS13 ,3,1,2021,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7
1742,13015,ESTATICA,IND-PLS13 ,3,1,2022,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5
1744,13015,ESTATICA,CIV-PLS13 ,3,1,2021,1,1,2021,19,24,5,1,1,0,0,3,3,0,0,4
1745,13015,ESTATICA,ELE-PLS13 ,3,1,2017,2,0,0,8,2,2,1,0,0,0,0,0,0,0,5
1745,13015,ESTATICA,ELE-PLS13 ,3,1,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4
1745,13015,ESTATICA,ELE-PLS13 ,3,2,2018,2,0,2018,3,12,5,1,1,34,0,1,0,1,1,6
1745,13015,ESTATICA,ELE-PLS13 ,3,1,2019,1,1,2018,14,17,0,1,1,23,0,3,0,3,0,4
1749,13015,ESTATICA,IND-PLS13 ,3,1,2017,2,0,2017,13,21,6,1,1,0,0,1,1,1,1,3
1749,13015,ESTATICA,IND-PLS13 ,3,1,2018,1,0,2018,11,13,3,1,1,34,0,1,0,1,0,5
1749,13015,ESTATICA,IND-PLS13 ,3,2,2018,2,1,2018,13,20,0,1,1,0,0,2,0,1,2,6
1750,13015,ESTATICA,CIV-PLS13 ,3,2,2019,2,1,2019,21,28,9,1,1,0,0,5,5,0,0,6
1751,13015,ESTATICA,CIV-PLS13 ,3,2,2019,2,1,2019,9,16,8,1,1,36,0,2,0,2,0,6
1752,13015,ESTATICA,MCT-PLS13 ,3,1,2016,2,0,2016,15,19,5,1,1,0,0,1,0,0,1,5
1752,13015,ESTATICA,MCT-PLS13 ,3,1,2017,2,1,2016,16,26,0,1,1,0,0,3,3,0,0,5
1753,13015,ESTATICA,CIV-PLS13 ,3,2,2019,2,1,2019,17,19,7,1,1,0,0,3,1,3,0,6
1755,13015,ESTATICA,ELE-PLS13 ,3,2,2021,2,0,0,8,0,2,1,0,0,0,0,0,0,0,5
1755,13015,ESTATICA,ELE-PLS13 ,3,1,2022,1,0,0,8,0,4,1,0,0,0,0,0,0,0,4
1755,13015,ESTATICA,ELE-PLS13 ,3,2,2022,2,0,2022,15,13,8,1,1,0,0,1,0,1,0,3
1756,13015,ESTATICA,IND-PLS13 ,3,1,2016,2,1,2016,8,20,7,1,1,0,0,2,2,0,0,5
1758,13015,ESTATICA,CIV-PLS13 ,3,2,2019,2,1,2019,17,28,7,1,1,0,0,4,4,0,0,6
