Idalumno,CodAsig,Asignatura,Carrera,Semestre,Convocatoria,Anho,Ciclo,Aprobado,AnhoFirma,1P,2P,Taller,Asistencia,SumProceso,Requisito,1R,2R,NF,1F,2F,3F,Abandono,Materias cursadas,Veces recursada
803,13015,ESTATICA,ELE-PLS13 ,3,2,2021,2,0,0,7,14,2,1,23,1,26,16,0,0,0,0,1,5,0
803,13015,ESTATICA,ELE-PLS13 ,3,1,2022,1,0,2022,15,5,2,1,22,1,30,33,0,0,0,0,0,5,1
803,13015,ESTATICA,ELE-PLS13 ,3,2,2022,2,1,2022,15,24,2,1,41,1,0,0,3,3,0,0,0,5,2
812,13015,ESTATICA,CIV-PLS13 ,3,1,2022,1,0,0,0,2,3,1,5,0,0,0,0,0,0,0,1,4,0
812,13015,ESTATICA,CIV-PLS13 ,3,2,2022,2,0,0,9,9,2,1,20,1,0,24,0,0,0,0,1,5,1
815,13015,ESTATICA,CIV-PLS13 ,3,1,2016,2,0,2015,13,19,0,1,32,1,0,0,1,1,1,0,0,5,0
815,13015,ESTATICA,CIV-PLS13 ,3,1,2017,2,1,2017,9,28,5,1,42,1,0,0,2,2,0,0,0,5,1
817,13015,ESTATICA,IND-PLS13 ,3,1,2016,2,0,2015,0,0,0,1,0,1,0,0,0,0,0,0,1,6,0
819,13015,ESTATICA,MCT-PLS13 ,3,1,2017,2,0,0,7,3,4,1,14,0,0,0,0,0,0,0,1,6,0
819,13015,ESTATICA,MCT-PLS13 ,3,1,2018,1,0,0,8,7,5,1,20,1,20,0,0,0,0,0,1,5,1
819,13015,ESTATICA,MEC-PLS13 ,3,2,2018,2,0,2018,12,10,6,1,28,1,0,38,1,0,0,1,0,5,2
819,13015,ESTATICA,MEC-PLS13 ,3,1,2019,1,1,2018,13,0,0,1,13,1,0,0,3,3,0,0,1,4,3
820,13015,ESTATICA,ELE-PLS13 ,3,1,2016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
